"Protein","Prediction"
"2887_Hemolytik_Amidation_Free_11.5%","hemolytic"
"2888_Hemolytik_Amidation_Free_2%","hemolytic"
"2889_Hemolytik_Amidation_Free_3.5%","hemolytic"
"2890_Hemolytik_Amidation_Free_0%","hemolytic"
"2892_Hemolytik_Amidation_Free_1%","hemolytic"
"2893_Hemolytik_Amidation_Free_39%","hemolytic"
"2894_Hemolytik_Amidation_Free_6%","hemolytic"
"2895_Hemolytik_Amidation_Free_10.5%","hemolytic"
"2896_Hemolytik_Amidation_Free_1.5%","hemolytic"
"2897_Hemolytik_Amidation_Free_3.5%","hemolytic"
"2898_Hemolytik_Amidation_Free_0%","hemolytic"
"2900_Hemolytik_Amidation_Free_0%","hemolytic"
"2902_Hemolytik_Amidation_Free_3.5%","hemolytic"
"2903_Hemolytik_Amidation_Free_1%","hemolytic"
"2904_Hemolytik_Amidation_Free_0%","hemolytic"
"2905_Hemolytik_Amidation_Free_3.5%","hemolytic"
"2906_Hemolytik_Amidation_Free_0%","hemolytic"
"2911_Hemolytik_Free_Free_~7%","hemolytic"
"2912_Hemolytik_Free_Free_<10%","hemolytic"
"2913_Hemolytik_Free_Free_>7%","non-hemolytic"
"2914_Hemolytik_Free_Free_~6%","non-hemolytic"
"2915_Hemolytik_Free_Free_<5%","non-hemolytic"
"2968_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"2969_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"2970_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"2971_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"2972_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"2974_Hemolytik_Free_Free_<5%","non-hemolytic"
"2976_Hemolytik_Free_Free_<5%","non-hemolytic"
"2977_Hemolytik_Free_Free_4.2%","non-hemolytic"
"2978_Hemolytik_Free_Free_4.1%","non-hemolytic"
"2979_Hemolytik_Free_Free_3.4%","non-hemolytic"
"2980_Hemolytik_Free_Free_3.0%","non-hemolytic"
"2981_Hemolytik_Free_Free_3.1%","non-hemolytic"
"2982_Hemolytik_Free_Free_4.2%","non-hemolytic"
"2983_Hemolytik_Free_Free_5.4%","non-hemolytic"
"2984_Hemolytik_Free_Free_5.8%","non-hemolytic"
"2985_Hemolytik_Free_Free_5.9%","non-hemolytic"
"2986_Hemolytik_Free_Free_4.9%","non-hemolytic"
"2987_Hemolytik_Free_Free_~1%","hemolytic"
"2988_Hemolytik_Amidation_Free_<2%","hemolytic"
"3002_Hemolytik_Free_Free_41.2","hemolytic"
"3003_Hemolytik_Free_Free_2.9±0.5%","non-hemolytic"
"3004_Hemolytik_Free_Free_3.8±0.4%","non-hemolytic"
"3005_Hemolytik_Free_Free_3.4±0.7%","hemolytic"
"3006_Hemolytik_Free_Free_0±1.7%","non-hemolytic"
"3007_Hemolytik_Free_Free_2.1±0.4%","hemolytic"
"3008_Hemolytik_Free_Free_4.3±0.1%","hemolytic"
"3010_Hemolytik_Free_Free_1.1±1.0%","non-hemolytic"
"3012_Hemolytik_Free_Free_2.4±0.7%","non-hemolytic"
"3014_Hemolytik_Free_Free_12.0±1.8%","hemolytic"
"3015_Hemolytik_Free_Free_2.8±0.3%","hemolytic"
"3016_Hemolytik_Free_Free_0%","non-hemolytic"
"3017_Hemolytik_Free_Free_~10%","non-hemolytic"
"3018_Hemolytik_Free_Free_0%","non-hemolytic"
"3019_Hemolytik_Free_Free_~10%","non-hemolytic"
"3026_Hemolytik_Amidation_Free_5-10%","hemolytic"
"3030_Hemolytik_Amidation_Free_10%","hemolytic"
"3034_Hemolytik_Amidation_Free_10%","hemolytic"
"3038_Hemolytik_Amidation_Free_30%","hemolytic"
"3042_Hemolytik_Free_Free_20-30%","hemolytic"
"3043_Hemolytik_Free_Free_20-30%","hemolytic"
"3044_Hemolytik_Free_Free_20-30%","hemolytic"
"3045_Hemolytik_Free_Free_90%","hemolytic"
"3046_Hemolytik_Free_Free_40-50%","hemolytic"
"3047_Hemolytik_Free_Free_40-50%","hemolytic"
"3048_Hemolytik_Free_Free_40-50%","hemolytic"
"3049_Hemolytik_Free_Free_100%","hemolytic"
"3050_Hemolytik_Free_Free_80-85%","hemolytic"
"3051_Hemolytik_Free_Free_70%","hemolytic"
"3052_Hemolytik_Free_Free_90%","hemolytic"
"3053_Hemolytik_Free_Free_100%","hemolytic"
"3069_Hemolytik_Free_Free_0%","non-hemolytic"
"3070_Hemolytik_Free_Free_3.8%","non-hemolytic"
"3071_Hemolytik_Free_Free_35%","hemolytic"
"3072_Hemolytik_Free_Free_0%","non-hemolytic"
"3073_Hemolytik_Free_Free_5%","non-hemolytic"
"3086_Hemolytik_Free_Free_0%","hemolytic"
"3087_Hemolytik_Free_Free_0%","non-hemolytic"
"3088_Hemolytik_Free_Free_0%","non-hemolytic"
"3091_Hemolytik_Amidation_Free_0%","non-hemolytic"
"3095_Hemolytik_Amidation_Free_0-5%","non-hemolytic"
"3097_Hemolytik_Amidation_Free_0%","non-hemolytic"
"3098_Hemolytik_Amidation_Free_10%","hemolytic"
"3101_Hemolytik_Amidation_Free_0-5%","non-hemolytic"
"3102_Hemolytik_Amidation_Free_40-50%","hemolytic"
"3104_Hemolytik_Amidation_Free_10%","non-hemolytic"
"3105_Hemolytik_Amidation_Free_0-5%","non-hemolytic"
"3106_Hemolytik_Amidation_Free_25%","hemolytic"
"3107_Hemolytik_Amidation_Free_40-50%","hemolytic"
"3110_Hemolytik_Amidation_Free_5%","non-hemolytic"
"3111_Hemolytik_Amidation_Free_10%","non-hemolytic"
"3117_Hemolytik_Free_Free_0%","hemolytic"
"3118_Hemolytik_Free_Free_12%","hemolytic"
"3119_Hemolytik_Free_Free_35%","hemolytic"
"3120_Hemolytik_Free_Free_51%","hemolytic"
"3121_Hemolytik_Free_Free_0%","non-hemolytic"
"3122_Hemolytik_Free_Free_4%","non-hemolytic"
"3123_Hemolytik_Free_Free_0%","hemolytic"
"3124_Hemolytik_Free_Free_7%","hemolytic"
"3125_Hemolytik_Free_Free_32%","hemolytic"
"3126_Hemolytik_Free_Free_45%","hemolytic"
"3127_Hemolytik_Amidation_Free_10%","hemolytic"
"3128_Hemolytik_Amidation_Free_10%","non-hemolytic"
"3129_Hemolytik_Amidation_Free_10%","non-hemolytic"
"3130_Hemolytik_Amidation_Free_10%","non-hemolytic"
"3131_Hemolytik_Amidation_Free_10%","non-hemolytic"
"3139_Hemolytik_Free_Free_5.9%","non-hemolytic"
"3140_Hemolytik_Free_Free_2.48%","non-hemolytic"
"3141_Hemolytik_Free_Free_1.16%","non-hemolytic"
"3142_Hemolytik_Free_Free_3.2%","non-hemolytic"
"3143_Hemolytik_Free_Free_9.5%","non-hemolytic"
"3144_Hemolytik_Free_Free_3%","non-hemolytic"
"3146_Hemolytik_Free_Free_7.5%","non-hemolytic"
"3147_Hemolytik_Free_Free_1.03%","non-hemolytic"
"3148_Hemolytik_Free_Free_9.9%","non-hemolytic"
"3149_Hemolytik_Free_Free_2.24%","non-hemolytic"
"3150_Hemolytik_Free_Free_7.2%","non-hemolytic"
"3187_Hemolytik_Free_Free_12%","hemolytic"
"3191_Hemolytik_Amidation_Free_48%","hemolytic"
"3192_Hemolytik_Amidation_Free_13%","hemolytic"
"3193_Hemolytik_Amidation_Free_3%","hemolytic"
"3196_Hemolytik_Amidation_Free_42%","hemolytic"
"3197_Hemolytik_Amidation_Free_10%","hemolytic"
"3198_Hemolytik_Amidation_Free_6%","hemolytic"
"3199_Hemolytik_Amidation_Free_4.5%","hemolytic"
"3236_Hemolytik_Free_Free_0%","non-hemolytic"
"3238_Hemolytik_Free_Free_1.1%","hemolytic"
"3239_Hemolytik_Free_Free_1.3%","non-hemolytic"
"3240_Hemolytik_Free_Free_1.7%","non-hemolytic"
"3241_Hemolytik_Free_Free_2.4%","non-hemolytic"
"3242_Hemolytik_Free_Free_2.3%","hemolytic"
"3243_Hemolytik_Free_Free_3.2%","hemolytic"
"3244_Hemolytik_Free_Free_3.9%","non-hemolytic"
"3245_Hemolytik_Free_Free_0%","non-hemolytic"
"3265_Hemolytik_Amidation_Free_0%","hemolytic"
"3266_Hemolytik_Amidation_Free_0%","hemolytic"
"3267_Hemolytik_Amidation_Free_0%","hemolytic"
"3268_Hemolytik_Amidation_Free_21%","hemolytic"
"3269_Hemolytik_Amidation_Free_8%","hemolytic"
"3276_Hemolytik_Free_Free_5%","hemolytic"
"3277_Hemolytik_Free_Free_34.3%","hemolytic"
"3279_Hemolytik_Free_Free_0.1%","non-hemolytic"
"3280_Hemolytik_Free_Free_0.4%","non-hemolytic"
"3281_Hemolytik_Free_Free_0.4%","non-hemolytic"
"3282_Hemolytik_Free_Free_0.5%","non-hemolytic"
"3283_Hemolytik_Free_Free_0.9%","non-hemolytic"
"3284_Hemolytik_Free_Free_0.8%","non-hemolytic"
"3297_Hemolytik_Amidation_Lac=p-amidophenyl-β-D-lactopyranoside","hemolytic"
"3298_Hemolytik_Amidation_Free_20%","hemolytic"
"3299_Hemolytik_Amidation_Acetylation_20%","hemolytic"
"3300_Hemolytik_Amidation_Free_15%","hemolytic"
"3301_Hemolytik_Free_Acetylation_15%","hemolytic"
"3305_Hemolytik_Free_Free_10%","hemolytic"
"3306_Hemolytik_Free_Free_10%","hemolytic"
"3311_Hemolytik_Free_Free_1%","non-hemolytic"
"3312_Hemolytik_Free_Free_2%","non-hemolytic"
"3321_Hemolytik_Free_Formylation_38%","hemolytic"
"3323_Hemolytik_Free_Formylation_47%","hemolytic"
"3325_Hemolytik_Free_Formylation_34%","hemolytic"
"3326_Hemolytik_Free_Formylation_43%","hemolytic"
"3327_Hemolytik_Free_Formylation_32%","hemolytic"
"3329_Hemolytik_Free_Formylation_20%","hemolytic"
"3330_Hemolytik_Free_Formylation_22%","hemolytic"
"3331_Hemolytik_Free_Formylation_2%","hemolytic"
"3335_Hemolytik_Free_Free_25%","hemolytic"
"3336_Hemolytik_Free_Free_8%","hemolytic"
"3337_Hemolytik_Free_Free_0%","non-hemolytic"
"3338_Hemolytik_Free_Free_12%","non-hemolytic"
"3339_Hemolytik_Free_Free_18%","non-hemolytic"
"3340_Hemolytik_Free_Free_0%","non-hemolytic"
"3341_Hemolytik_Free_Free_20%","non-hemolytic"
"3342_Hemolytik_Free_Free_19%","non-hemolytic"
"3343_Hemolytik_Free_Free_0%","non-hemolytic"
"3344_Hemolytik_Free_Free_23%","non-hemolytic"
"3346_Hemolytik_Free_Free_0%","non-hemolytic"
"3347_Hemolytik_Free_Free_14%","non-hemolytic"
"3348_Hemolytik_Free_Free_0%","non-hemolytic"
"3349_Hemolytik_Free_Free_17%","non-hemolytic"
"3355_Hemolytik_Free_Formylation_4%","hemolytic"
"3356_Hemolytik_Free_Formylation_12%","hemolytic"
"3357_Hemolytik_Free_Formylation_36%","hemolytic"
"3360_Hemolytik_Free_Free_13%","hemolytic"
"3361_Hemolytik_Free_Free_31%","hemolytic"
"3362_Hemolytik_Free_Free_34%","hemolytic"
"3363_Hemolytik_Free_Free_35%","hemolytic"
"3364_Hemolytik_Free_Free_13%","hemolytic"
"3366_Hemolytik_Free_Fmoc_25%","hemolytic"
"3368_Hemolytik_Free_Fmoc_43%","hemolytic"
"3369_Hemolytik_Free_Free_40%","hemolytic"
"3370_Hemolytik_Free_Free_11%","hemolytic"
"3372_Hemolytik_Free_Free_24%","hemolytic"
"3384_Hemolytik_Amidation_Free_55%","hemolytic"
"3385_Hemolytik_Free_Free_35%","hemolytic"
"3386_Hemolytik_Free_Free_0.02%","non-hemolytic"
"3387_Hemolytik_Free_Free_0.06%","non-hemolytic"
"3388_Hemolytik_Free_Free_0.14%","non-hemolytic"
"3389_Hemolytik_Free_Free_0.19%","non-hemolytic"
"3390_Hemolytik_Free_Free_0.23%","non-hemolytic"
"3391_Hemolytik_Free_Free_0.03%","non-hemolytic"
"3392_Hemolytik_Free_Free_0.07%","non-hemolytic"
"3393_Hemolytik_Free_Free_0.13%","non-hemolytic"
"3394_Hemolytik_Free_Free_0.17%","non-hemolytic"
"3395_Hemolytik_Free_Free_0.21%","non-hemolytic"
"3400_Hemolytik_Free_Free_<5%","hemolytic"
"3401_Hemolytik_Free_Free_<10%","hemolytic"
"3402_Hemolytik_Free_Free_~10%","hemolytic"
"3403_Hemolytik_Free_Free_~14%","hemolytic"
"3408_Hemolytik_Free_Free_<0.5%","non-hemolytic"
"3409_Hemolytik_Free_Free_0%","hemolytic"
"3411_Hemolytik_Free_Free_0%","hemolytic"
"3413_Hemolytik_Free_Free_0%","hemolytic"
"3414_Hemolytik_Free_Free_~5%","hemolytic"
"3415_Hemolytik_Amidation_Free_0%","hemolytic"
"3416_Hemolytik_Amidation_Free_1%","hemolytic"
"3417_Hemolytik_Amidation_Free_0%","hemolytic"
"3418_Hemolytik_Amidation_Free_19%","hemolytic"
"3419_Hemolytik_Amidation_Free_11%","hemolytic"
"3420_Hemolytik_Amidation_Free_55%","hemolytic"
"3421_Hemolytik_Amidation_Free_51%","hemolytic"
"3432_Hemolytik_Free_Free_0%","non-hemolytic"
"3433_Hemolytik_Free_Free_1%","non-hemolytic"
"3435_Hemolytik_Free_Free_2%","non-hemolytic"
"3436_Hemolytik_Free_Free_9%","non-hemolytic"
"3437_Hemolytik_Free_Free_0%","non-hemolytic"
"3438_Hemolytik_Free_Free_1%","non-hemolytic"
"3439_Hemolytik_Free_Free_2%","non-hemolytic"
"3440_Hemolytik_Free_Free_4%","non-hemolytic"
"3441_Hemolytik_Free_Free_1%","non-hemolytic"
"3442_Hemolytik_Free_Free_2%","non-hemolytic"
"3443_Hemolytik_Free_Free_6%","non-hemolytic"
"3444_Hemolytik_Free_Free_14%","non-hemolytic"
"3445_Hemolytik_Free_Free_0%","non-hemolytic"
"3446_Hemolytik_Free_Free_1%","non-hemolytic"
"3447_Hemolytik_Free_Free_3%","hemolytic"
"3448_Hemolytik_Free_Free_16%","hemolytic"
"3449_Hemolytik_Free_Free_29%","hemolytic"
"3450_Hemolytik_Free_Free_41%","hemolytic"
"3452_Hemolytik_Free_Free_0%","non-hemolytic"
"3453_Hemolytik_Free_Free_2%","non-hemolytic"
"3467_Hemolytik_Free_Free_0%","non-hemolytic"
"3469_Hemolytik_Free_Free_~45%","hemolytic"
"3470_Hemolytik_Free_Free_~60%","hemolytic"
"3471_Hemolytik_Free_Free_~45%","hemolytic"
"3472_Hemolytik_Free_Free_100%","hemolytic"
"3484_Hemolytik_Amidation_Free_45-50%","hemolytic"
"3485_Hemolytik_Amidation_Free_45-50%","hemolytic"
"3486_Hemolytik_Amidation_Free_45-50%","hemolytic"
"3487_Hemolytik_Amidation_Free_45-50%","hemolytic"
"3488_Hemolytik_Amidation_Free_45-50%","hemolytic"
"3489_Hemolytik_Amidation_Free_45-50%","hemolytic"
"3498_Hemolytik_Amidation_Free_80%","non-hemolytic"
"3499_Hemolytik_Amidation_Free_~5%","non-hemolytic"
"3500_Hemolytik_Amidation_Free_~4%","non-hemolytic"
"3502_Hemolytik_Amidation_Free_>75%","non-hemolytic"
"3504_Hemolytik_Amidation_Free_>75%","hemolytic"
"3505_Hemolytik_Amidation_Free_~5%","non-hemolytic"
"3506_Hemolytik_Amidation_Free_~3%","non-hemolytic"
"3507_Hemolytik_Amidation_Free_~5%","non-hemolytic"
"3508_Hemolytik_Amidation_Free_~3%","non-hemolytic"
"3509_Hemolytik_Amidation_Free_~4%","non-hemolytic"
"3510_Hemolytik_Amidation_Free_~2%","non-hemolytic"
"3512_Hemolytik_Amidation_Free_>70%","hemolytic"
"3514_Hemolytik_Amidation_Free_>55%","hemolytic"
"3516_Hemolytik_Amidation_Free_~55%","hemolytic"
"3517_Hemolytik_Free_Free_~20%","hemolytic"
"3518_Hemolytik_Free_Free_100%","hemolytic"
"3520_Hemolytik_Amidation_Free_12%","non-hemolytic"
"3522_Hemolytik_Amidation_Free_30%","non-hemolytic"
"3524_Hemolytik_Amidation_Free_40%","hemolytic"
"3529_Hemolytik_Free_Free_0%","hemolytic"
"3530_Hemolytik_Free_Free_10%","hemolytic"
"3531_Hemolytik_Free_Free_20%","hemolytic"
"3536_Hemolytik_Free_Free_0%","non-hemolytic"
"3537_Hemolytik_Free_Free_<10%","non-hemolytic"
"3538_Hemolytik_Free_Free_~10%","non-hemolytic"
"3539_Hemolytik_Free_Free_~1-2%","non-hemolytic"
"3540_Hemolytik_Free_Free_>10%","non-hemolytic"
"3543_Hemolytik_Amidation_Free_~40%","hemolytic"
"3544_Hemolytik_Amidation_Free_100%","hemolytic"
"3545_Hemolytik_Amidation_Free_>40%","hemolytic"
"3546_Hemolytik_Amidation_Free_100%","hemolytic"
"3547_Hemolytik_Amidation_Free_0%","hemolytic"
"3548_Hemolytik_Amidation_Free_100%","hemolytic"
"3549_Hemolytik_Free_Free_1.4±0.3%","non-hemolytic"
"3550_Hemolytik_Free_Free_1.1±0.3%","non-hemolytic"
"3551_Hemolytik_Free_Free_0.9±0.1%","non-hemolytic"
"3552_Hemolytik_Free_Free_0.7±0.3%","non-hemolytic"
"3553_Hemolytik_Free_Free_0.2±0.1%","non-hemolytic"
"3556_Hemolytik_Free_Free_17.5±1.1%","hemolytic"
"3557_Hemolytik_Free_Free_3.7±0.1%","hemolytic"
"3558_Hemolytik_Free_Free_1.4±0.3%","hemolytic"
"3569_Hemolytik_Amidation_Free_5%","hemolytic"
"3581_Hemolytik_Amidation_Free_100%","hemolytic"
"3600_Hemolytik_Free_Free_1-2%","hemolytic"
"3606_Hemolytik_Free_Free_100%","hemolytic"
"3607_Hemolytik_Free_Free_41%","hemolytic"
"3608_Hemolytik_Free_Free_28%","hemolytic"
"3609_Hemolytik_Free_Free_1.3%","non-hemolytic"
"3610_Hemolytik_Free_Free_1.1%","non-hemolytic"
"3611_Hemolytik_Free_Free_1.2%","non-hemolytic"
"3613_Hemolytik_Amidation_Free_37.7%","hemolytic"
"3619_Hemolytik_Free_Free_22%","hemolytic"
"3634_Hemolytik_Free_Free_5%","non-hemolytic"
"3635_Hemolytik_Free_Free_40%","hemolytic"
"3636_Hemolytik_Free_Free_~90%","hemolytic"
"3646_Hemolytik_Free_Free_15.4±3.5%","hemolytic"
"3647_Hemolytik_Free_Free_23.9±4.7%","hemolytic"
"3648_Hemolytik_Free_Free_17.6±2.2%","hemolytic"
"3649_Hemolytik_Free_Free_21.6±7.3%","hemolytic"
"3654_Hemolytik_Free_Free_0%","non-hemolytic"
"3655_Hemolytik_Amidation_Free_~20%","hemolytic"
"3656_Hemolytik_Amidation_Free_~90%","hemolytic"
"3658_Hemolytik_Amidation_Free_~20%","non-hemolytic"
"3660_Hemolytik_Amidation_Free_~20%","non-hemolytic"
"3673_Hemolytik_Free_Free_>20%","hemolytic"
"3674_Hemolytik_Free_Free_>50%","hemolytic"
"3676_Hemolytik_Free_Free_>100%","hemolytic"
"3677_Hemolytik_[NH(CH2)2NH2]2_Free_<20%","hemolytic"
"3695_Hemolytik_Free_Free_0.2%","non-hemolytic"
"3696_Hemolytik_Free_Free_1.0%","non-hemolytic"
"3697_Hemolytik_Free_Free_7.6%","non-hemolytic"
"3698_Hemolytik_Free_Free_21.0%","non-hemolytic"
"3699_Hemolytik_Free_Free_0.59%","non-hemolytic"
"3700_Hemolytik_Free_Free_0.82%","non-hemolytic"
"3701_Hemolytik_Free_Free_1.20%","non-hemolytic"
"3702_Hemolytik_Free_Free_1.67%","non-hemolytic"
"3703_Hemolytik_Free_Free_1.01%","hemolytic"
"3704_Hemolytik_Free_Free_0.86%","non-hemolytic"
"3708_Hemolytik_Free_Free_25±2%","hemolytic"
"3709_Hemolytik_Free_Free_21±5%","hemolytic"
"3710_Hemolytik_Free_Free_32±7%","hemolytic"
"3711_Hemolytik_Free_Free_37±6%","hemolytic"
"3712_Hemolytik_Free_Free_10.3%","hemolytic"
"3713_Hemolytik_Free_Free_14.8%","hemolytic"
"3714_Hemolytik_Free_Free_8.7%","hemolytic"
"3715_Hemolytik_Free_Free_1.9%","hemolytic"
"3716_Hemolytik_Free_Free_6.9%","hemolytic"
"3744_Hemolytik_Amidation_Free_1.3%","non-hemolytic"
"3745_Hemolytik_Amidation_Free_1.2%","non-hemolytic"
"3746_Hemolytik_Amidation_Free_1.6%","non-hemolytic"
"3747_Hemolytik_Amidation_Free_1.7%","non-hemolytic"
"3748_Hemolytik_Amidation_Free_2.5%","non-hemolytic"
"3749_Hemolytik_Amidation_Free_1.5%","non-hemolytic"
"3750_Hemolytik_Free_Free_30%","hemolytic"
"3751_Hemolytik_Free_Free_<10%","hemolytic"
"3753_Hemolytik_Free_Free_~10%","hemolytic"
"3770_Hemolytik_Amidation_Free_20%","hemolytic"
"3771_Hemolytik_Amidation_Free_55%","hemolytic"
"3772_Hemolytik_Free_Free_85%","hemolytic"
"3777_Hemolytik_Free_Free_27%","hemolytic"
"3778_Hemolytik_Free_Free_18%","hemolytic"
"3782_Hemolytik_Free_Free_5%","hemolytic"
"3783_Hemolytik_Free_Free_20%","hemolytic"
"3784_Hemolytik_Free_Free_30%","hemolytic"
"3801_Hemolytik_Free_Free_0%","non-hemolytic"
"3802_Hemolytik_Free_Free_0%","non-hemolytic"
"3803_Hemolytik_Free_Free_0.23%","non-hemolytic"
"3804_Hemolytik_Free_Free_0.23%","non-hemolytic"
"3805_Hemolytik_Free_Free_0.46%","non-hemolytic"
"3806_Hemolytik_Free_Free_50%","hemolytic"
"3807_Hemolytik_Free_Free_2.6%","hemolytic"
"3809_Hemolytik_Free_Free_0.42%","non-hemolytic"
"3810_Hemolytik_Free_Free_0.36%","non-hemolytic"
"3811_Hemolytik_Free_Free_0.40%","non-hemolytic"
"3812_Hemolytik_Free_Free_0.49%","non-hemolytic"
"3813_Hemolytik_Amidation_Free_0%","hemolytic"
"3824_Hemolytik_Free_Free_0.2%","non-hemolytic"
"3833_Hemolytik_NH(CH2)2NH2_Free_22%","hemolytic"
"3841_Hemolytik_Free_Free_0%","non-hemolytic"
"3863_Hemolytik_Free_Free_0%","non-hemolytic"
"3864_Hemolytik_Free_Free_0%","non-hemolytic"
"3865_Hemolytik_Amidation_Free_0%","non-hemolytic"
"3866_Hemolytik_Amidation_Free_0%","non-hemolytic"
"3867_Hemolytik_Amidation_Free_3.1%","non-hemolytic"
"3868_Hemolytik_Amidation_Free_15.5%","non-hemolytic"
"3976_Hemolytik_Free_Free_10.2%","non-hemolytic"
"3977_Hemolytik_Free_Free_3.2%","non-hemolytic"
"3978_Hemolytik_Free_Free_1.7%","non-hemolytic"
"3979_Hemolytik_Free_Free_2.7%","non-hemolytic"
"3986_Hemolytik_Free_Free_100%","hemolytic"
"3987_Hemolytik_Free_Free_0%","non-hemolytic"
"3988_Hemolytik_Free_Free_3%","hemolytic"
"3989_Hemolytik_Free_Free_6%","hemolytic"
"3990_Hemolytik_Free_Free_22%","hemolytic"
"3991_Hemolytik_Free_Free_0%","non-hemolytic"
"3996_Hemolytik_Free_Free_30%","hemolytic"
"3997_Hemolytik_Free_Free_50%","hemolytic"
"3998_Hemolytik_Free_Free_50%","hemolytic"
"3999_Hemolytik_Free_Free_50%","hemolytic"
"4000_Hemolytik_Free_Free_50%","hemolytic"
"4001_Hemolytik_Free_Free_50%","hemolytic"
"4002_Hemolytik_Free_Free_50%","hemolytic"
"4003_Hemolytik_Free_Free_50%","hemolytic"
"4004_Hemolytik_Free_Free_50%","hemolytic"
"4005_Hemolytik_Free_Free_50%","hemolytic"
"4006_Hemolytik_Free_Free_50%","hemolytic"
"4007_Hemolytik_Free_Free_50%","hemolytic"
"4008_Hemolytik_Free_Free_50%","hemolytic"
"4009_Hemolytik_Free_Free_50%","hemolytic"
"4010_Hemolytik_Free_Free_50%","non-hemolytic"
"4011_Hemolytik_Free_Free_50%","non-hemolytic"
"4012_Hemolytik_Free_Free_50%","hemolytic"
"4013_Hemolytik_Free_Free_50%","hemolytic"
"4014_Hemolytik_Free_Free_50%","hemolytic"
"4015_Hemolytik_Free_Free_50%","hemolytic"
"4016_Hemolytik_Free_Free_50%","hemolytic"
"4017_Hemolytik_Free_Free_50%","hemolytic"
"4018_Hemolytik_Free_Free_51%","hemolytic"
"4021_Hemolytik_Free_Free_0%","hemolytic"
"4022_Hemolytik_Free_Free_0%","hemolytic"
"4023_Hemolytik_Free_Free_0%","non-hemolytic"
"4024_Hemolytik_Free_Free_7.62±1.60%","non-hemolytic"
"4026_Hemolytik_Free_Free_6.69±1.51%","non-hemolytic"
"4027_Hemolytik_Free_Free_0%","hemolytic"
"4029_Hemolytik_Free_Free_0.7%","non-hemolytic"
"4030_Hemolytik_Free_Free_0.8%","non-hemolytic"
"4031_Hemolytik_Free_Free_5.9%","non-hemolytic"
"4032_Hemolytik_Free_Free_7.6%","non-hemolytic"
"4033_Hemolytik_Free_Free_7.8%","non-hemolytic"
"4034_Hemolytik_Free_Free_1.5%","non-hemolytic"
"4035_Hemolytik_Free_Free_7.2%","non-hemolytic"
"4036_Hemolytik_Free_Free_7.8%","non-hemolytic"
"4037_Hemolytik_Free_Free_9.5%","non-hemolytic"
"4039_Hemolytik_Free_Free_0.6%","non-hemolytic"
"4040_Hemolytik_Free_Free_0.8%","non-hemolytic"
"4041_Hemolytik_Free_Free_5.2%","non-hemolytic"
"4042_Hemolytik_Free_Free_5.3%","non-hemolytic"
"4043_Hemolytik_Free_Free_11.3%","non-hemolytic"
"4044_Hemolytik_Free_Free_2.2%","non-hemolytic"
"4045_Hemolytik_Free_Free_4.7%","non-hemolytic"
"4046_Hemolytik_Free_Free_5.2%","non-hemolytic"
"4047_Hemolytik_Free_Free_12.4%","non-hemolytic"
"4051_Hemolytik_Free_Free_20%","hemolytic"
"4052_Hemolytik_Free_Free_20%","hemolytic"
"4053_Hemolytik_Amidation_Free_20%","non-hemolytic"
"4054_Hemolytik_Amidation_Free_20%","non-hemolytic"
"4055_Hemolytik_Amidation_Free_20%","hemolytic"
"4056_Hemolytik_Amidation_Free_20%","hemolytic"
"4057_Hemolytik_Amidation_Free_20%","hemolytic"
"4063_Hemolytik_Free_Free_7%","hemolytic"
"4067_Hemolytik_Free_Free_10%","hemolytic"
"4068_Hemolytik_Free_Free_25%","hemolytic"
"4072_Hemolytik_Amidation_Free_0%","hemolytic"
"4073_Hemolytik_Amidation_Free_32%","hemolytic"
"4078_Hemolytik_Free_Free_39%","hemolytic"
"4082_Hemolytik_Free_Free_4%","non-hemolytic"
"4083_Hemolytik_Free_Free_3%","non-hemolytic"
"4084_Hemolytik_Free_Free_3%","non-hemolytic"
"4085_Hemolytik_Free_Free_4%","non-hemolytic"
"4086_Hemolytik_Free_Free_6%","non-hemolytic"
"4087_Hemolytik_Free_Free_1%","non-hemolytic"
"4088_Hemolytik_Free_Free_1%","non-hemolytic"
"4089_Hemolytik_Free_Free_2%","non-hemolytic"
"4090_Hemolytik_Free_Free_5%","non-hemolytic"
"4091_Hemolytik_Free_Free_6%","non-hemolytic"
"4092_Hemolytik_Amidation_Free_4%","non-hemolytic"
"4093_Hemolytik_Amidation_Free_3%","non-hemolytic"
"4094_Hemolytik_Amidation_Free_4%","non-hemolytic"
"4095_Hemolytik_Amidation_Free_5%","non-hemolytic"
"4096_Hemolytik_Amidation_Free_7%","non-hemolytic"
"4097_Hemolytik_Amidation_Free_5%","non-hemolytic"
"4098_Hemolytik_Amidation_Free_3%","non-hemolytic"
"4099_Hemolytik_Amidation_H2N-CH2-CO-P_2%","non-hemolytic"
"4100_Hemolytik_Amidation_H2N-(CH2)3-CO-P_1%","non-hemolytic"
"4101_Hemolytik_Amidation_H2N-(CH2)6-CO-P_1%","non-hemolytic"
"4102_Hemolytik_Amidation_H2N-(CH2)11-CO-P_4%","non-hemolytic"
"4103_Hemolytik_Amidation_H2N-C((CH2)4-NH2)H-CO-P_5%","non-hemolytic"
