Protein,Prediction
5843_DBASSP_#_#_hem,1
5853_DBASSP_AMD_#_hem,1
5859_DBASSP_#_#_hem,1
5863_DBASSP_#_#_hem,0
10544_DBASSP_#_#_hem,1
10545_DBASSP_#_#_hem,1
5937_DBASSP_AMD_#_hem,0
5938_DBASSP_AMD_#_hem,0
5939_DBASSP_AMD_#_hem,1
5940_DBASSP_AMD_#_hem,1
5973_DBASSP_AMD_#_hem,1
996_DBASSP_AMD_#_hem,1
997_DBASSP_AMD_#_hem,1
5998_DBASSP_AMD_#_hem,1
6001_DBASSP_AMD_#_hem,1
6003_DBASSP_AMD_#_hem,1
2004_DBASSP_#_#_hem,1
6045_DBASSP_AMD_#_hem,1
6166_DBASSP_#_#_hem,1
6167_DBASSP_#_#_hem,1
6168_DBASSP_#_#_hem,1
6169_DBASSP_#_#_hem,1
6170_DBASSP_#_#_hem,1
2398_DBASSP_#_#_hem,1
6207_DBASSP_#_#_hem,1
6208_DBASSP_#_#_hem,0
6209_DBASSP_#_#_hem,0
6497_DBASSP_AMD_ACT_hem,1
3769_DBASSP_#_#_hem,1
6247_DBASSP_#_#_hem,1
6249_DBASSP_#_#_hem,1
6251_DBASSP_AMD_#_hem,1
6320_DBASSP_#_#_hem,1
3791_DBASSP_#_#_hem,1
6400_DBASSP_AMD_C12_hem,1
6406_DBASSP_AMD_C8_hem,1
6468_DBASSP_AMD_ACT_hem,1
6473_DBASSP_AMD_ACT_hem,0
6480_DBASSP_AMD_ACT_hem,1
6488_DBASSP_AMD_ACT_hem,1
6489_DBASSP_AMD_ACT_hem,1
2447_DBASSP_AMD_#_hem,0
6493_DBASSP_AMD_ACT_hem,1
6496_DBASSP_AMD_ACT_hem,1
2448_DBASSP_AMD_#_hem,0
6501_DBASSP_AMD_ACT_hem,1
2449_DBASSP_AMD_#_hem,0
6505_DBASSP_AMD_ACT_hem,1
2399_DBASSP_#_#_hem,1
6525_DBASSP_AMD_ACT_hem,1
6526_DBASSP_AMD_ACT_hem,1
10645_DBASSP_AMD_#_hem,1
6528_DBASSP_AMD_ACT_hem,1
6529_DBASSP_AMD_ACT_hem,0
6530_DBASSP_AMD_ACT_hem,1
6531_DBASSP_AMD_ACT_hem,0
6532_DBASSP_AMD_ACT_hem,1
6533_DBASSP_AMD_ACT_hem,0
6535_DBASSP_AMD_ACT_hem,0
6539_DBASSP_AMD_ACT_hem,0
6540_DBASSP_AMD_ACT_hem,0
6541_DBASSP_AMD_ACT_hem,0
6543_DBASSP_#_#_hem,1
6544_DBASSP_#_#_hem,1
6545_DBASSP_#_#_hem,1
6546_DBASSP_#_#_hem,1
6547_DBASSP_#_#_hem,1
6551_DBASSP_#_#_hem,1
6552_DBASSP_#_#_hem,1
8391_DBASSP_#_#_hem,0
6649_DBASSP_AMD_#_hem,1
6650_DBASSP_AMD_#_hem,1
6651_DBASSP_AMD_NC2_hem,1
6652_DBASSP_AMD_NC4_hem,1
6653_DBASSP_AMD_NC6_hem,1
6654_DBASSP_AMD_ACT_hem,1
6655_DBASSP_AMD_C4_hem,1
6658_DBASSP_AMD_C6_hem,1
6660_DBASSP_AMD_Ch_hem,0
6663_DBASSP_AMD_FMOC_hem,0
6664_DBASSP_AMD_SUC_hem,0
6665_DBASSP_AMD_C4_hem,1
6666_DBASSP_AMD_C8_hem,1
6667_DBASSP_AMD_NC12_hem,1
6668_DBASSP_AMD_NC12_hem,0
6701_DBASSP_AMD_#_hem,1
6702_DBASSP_#_#_hem,1
6703_DBASSP_#_#_hem,1
6704_DBASSP_#_#_hem,1
6705_DBASSP_#_#_hem,1
6706_DBASSP_AMD_#_hem,0
7589_DBASSP_AMD_#_hem,0
5227_DBASSP_AMD_#_hem,1
8956_DBASSP_#_#_hem,1
6830_DBASSP_AMD_#_hem,1
6831_DBASSP_AMD_#_hem,1
6841_DBASSP_AMD_#_hem,1
6842_DBASSP_AMD_#_hem,1
2507_DBASSP_AMD_#_hem,1
2508_DBASSP_AMD_#_hem,1
2509_DBASSP_AMD_#_hem,1
6503_DBASSP_AMD_ACT_hem,1
10706_DBASSP_AMD_#_hem,1
6897_DBASSP_AMD_#_hem,1
6898_DBASSP_AMD_#_hem,1
10707_DBASSP_AMD_#_hem,1
6901_DBASSP_AMD_#_hem,0
6903_DBASSP_AMD_#_hem,0
10708_DBASSP_AMD_#_hem,1
10710_DBASSP_AMD_#_hem,1
6924_DBASSP_#_#_hem,1
6925_DBASSP_#_#_hem,1
6926_DBASSP_#_#_hem,1
6928_DBASSP_#_#_hem,1
6931_DBASSP_#_#_hem,1
6932_DBASSP_#_#_hem,1
6934_DBASSP_#_#_hem,1
6936_DBASSP_#_#_hem,1
6962_DBASSP_AMD_#_hem,1
6963_DBASSP_AMD_#_hem,1
6965_DBASSP_AMD_#_hem,1
6967_DBASSP_AMD_#_hem,1
6968_DBASSP_AMD_#_hem,1
6969_DBASSP_AMD_#_hem,1
3893_DBASSP_AMD_#_hem,1
6977_DBASSP_AMD_#_hem,1
6978_DBASSP_AMD_#_hem,1
6979_DBASSP_AMD_#_hem,1
6980_DBASSP_AMD_#_hem,1
6983_DBASSP_AMD_#_hem,0
6984_DBASSP_AMD_#_hem,0
6985_DBASSP_AMD_C3_hem,0
6986_DBASSP_AMD_C4_hem,0
6987_DBASSP_AMD_C5_hem,0
6988_DBASSP_AMD_C6_hem,0
6989_DBASSP_AMD_C8_hem,0
6990_DBASSP_AMD_C10_hem,0
6991_DBASSP_AMD_#_hem,1
6993_DBASSP_AMD_#_hem,0
6998_DBASSP_AMD_C12_hem,0
6999_DBASSP_AMD_C14_hem,0
7000_DBASSP_AMD_C16_hem,0
7001_DBASSP_AMD_NC2_hem,0
7002_DBASSP_AMD_NC4_hem,0
7003_DBASSP_AMD_C12_hem,1
7004_DBASSP_AMD_NC12_hem,1
7010_DBASSP_AMD_#_hem,1
9375_DBASSP_EN_ACT_hem,1
7109_DBASSP_AMD_#_hem,0
7115_DBASSP_AMD_#_hem,0
7116_DBASSP_AMD_#_hem,0
7118_DBASSP_AMD_#_hem,0
9379_DBASSP_#_#_hem,1
1188_DBASSP_#_#_hem,1
9383_DBASSP_#_#_hem,1
9385_DBASSP_#_#_hem,1
7164_DBASSP_#_#_hem,1
7167_DBASSP_#_#_hem,1
7169_DBASSP_#_#_hem,1
7170_DBASSP_#_#_hem,1
10753_DBASSP_#_#_hem,1
7188_DBASSP_#_#_hem,1
7189_DBASSP_#_#_hem,1
7190_DBASSP_#_#_hem,1
7213_DBASSP_#_#_hem,1
8030_DBASSP_AMD_#_hem,0
7242_DBASSP_AMD_#_hem,1
7265_DBASSP_AMD_#_hem,1
5307_DBASSP_#_#_hem,1
7269_DBASSP_AMD_#_hem,1
7271_DBASSP_AMD_#_hem,1
7273_DBASSP_AMD_#_hem,1
7274_DBASSP_AMD_#_hem,1
103_DBASSP_AMD_#_hem,1
10609_DBASSP_#_#_hem,1
7356_DBASSP_AMD_C12_hem,1
7357_DBASSP_AMD_#_hem,1
7358_DBASSP_AMD_C12_hem,1
7359_DBASSP_AMD_#_hem,1
7360_DBASSP_AMD_C12_hem,1
7361_DBASSP_AMD_#_hem,0
7362_DBASSP_AMD_C12_hem,0
7363_DBASSP_AMD_#_hem,0
7364_DBASSP_AMD_C12_hem,0
7365_DBASSP_AMD_C14_hem,1
7366_DBASSP_AMD_C14_hem,0
2593_DBASSP_AMD_#_hem,1
1882_DBASSP_AMD_#_hem,1
10251_DBASSP_#_#_hem,1
1883_DBASSP_AMD_#_hem,1
7430_DBASSP_AMD_#_hem,1
7431_DBASSP_AMD_#_hem,1
7433_DBASSP_AMD_#_hem,1
3065_DBASSP_AMD_#_hem,1
7554_DBASSP_#_#_hem,1
7583_DBASSP_AMD_#_hem,1
7584_DBASSP_#_#_hem,1
7585_DBASSP_#_#_hem,1
7586_DBASSP_AMD_#_hem,1
7587_DBASSP_AMD_#_hem,1
7588_DBASSP_AMD_#_hem,0
6527_DBASSP_AMD_ACT_hem,1
7629_DBASSP_AMD_#_hem,1
7630_DBASSP_AMD_#_hem,1
7632_DBASSP_AMD_#_hem,0
7633_DBASSP_AMD_#_hem,0
7634_DBASSP_AMD_#_hem,1
7646_DBASSP_AMD_#_hem,1
7657_DBASSP_AMD_#_hem,1
7670_DBASSP_AMD_#_hem,1
7674_DBASSP_AMD_#_hem,1
2165_DBASSP_AMD_#_hem,1
7707_DBASSP_#_C16_hem,0
8440_DBASSP_#_#_hem,1
7711_DBASSP_#_ACT_hem,0
5386_DBASSP_#_#_hem,1
7762_DBASSP_#_#_hem,1
7765_DBASSP_AMD_#_hem,1
7766_DBASSP_AMD_#_hem,0
7767_DBASSP_AMD_#_hem,0
7819_DBASSP_#_#_hem,1
7820_DBASSP_#_#_hem,1
7830_DBASSP_#_#_hem,1
7842_DBASSP_AMD_#_hem,1
7856_DBASSP_#_#_hem,1
7857_DBASSP_#_#_hem,1
7858_DBASSP_#_#_hem,1
7864_DBASSP_#_#_hem,1
7865_DBASSP_#_#_hem,1
7867_DBASSP_#_#_hem,1
7870_DBASSP_#_#_hem,1
7877_DBASSP_#_#_hem,1
7879_DBASSP_#_#_hem,1
7880_DBASSP_#_#_hem,1
7881_DBASSP_#_#_hem,1
7882_DBASSP_#_#_hem,1
7883_DBASSP_#_#_hem,1
7884_DBASSP_#_#_hem,1
7885_DBASSP_#_#_hem,1
7897_DBASSP_#_#_hem,1
7902_DBASSP_#_#_hem,1
7903_DBASSP_#_#_hem,1
7905_DBASSP_#_#_hem,1
7920_DBASSP_#_#_hem,1
7921_DBASSP_#_#_hem,1
7922_DBASSP_#_#_hem,1
7923_DBASSP_#_#_hem,1
7924_DBASSP_#_#_hem,1
7926_DBASSP_#_#_hem,1
7928_DBASSP_#_#_hem,1
7929_DBASSP_#_#_hem,1
7930_DBASSP_#_#_hem,1
7931_DBASSP_#_#_hem,1
7932_DBASSP_#_#_hem,1
7933_DBASSP_#_#_hem,1
7934_DBASSP_#_#_hem,1
7935_DBASSP_#_#_hem,1
7938_DBASSP_#_#_hem,1
7941_DBASSP_#_#_hem,1
7944_DBASSP_#_#_hem,1
7945_DBASSP_#_#_hem,1
7987_DBASSP_#_#_hem,1
8031_DBASSP_AMD_#_hem,1
10633_DBASSP_AMD_#_hem,0
8033_DBASSP_#_#_hem,1
8034_DBASSP_#_#_hem,1
8038_DBASSP_AMD_#_hem,1
8039_DBASSP_#_#_hem,1
8040_DBASSP_#_#_hem,1
8048_DBASSP_#_#_hem,1
8050_DBASSP_#_#_hem,1
8064_DBASSP_#_#_hem,1
8065_DBASSP_#_#_hem,1
8066_DBASSP_#_#_hem,1
8094_DBASSP_#_#_hem,1
1189_DBASSP_#_#_hem,1
2452_DBASSP_#_#_hem,1
10909_DBASSP_AMD_#_hem,1
8126_DBASSP_AMD_#_hem,1
8127_DBASSP_AMD_#_hem,1
2400_DBASSP_#_#_hem,1
